CommitHash,Author,Date,Message,FilesChanged
774a0b837a194ee885d4fdd9ca947900cc3daf71,Magsen (CD),2026-03-24T19:26:47-06:00,"docs(socks): same block as other sections

strange formatting:
https://docs.python-requests.org/en/latest/user/advanced/#socks",['docs/user/advanced.rst']
9c72a41bec8597f948c9d8caa5dc3f12273b3303,dependabot[bot],2026-03-23T11:43:09-06:00,"Bump github/codeql-action from 4.33.0 to 4.34.1

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 4.33.0 to 4.34.1.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/b1bff81932f5cdfc8695c7752dcee935dcd061c8...38697555549f1db7851b81482ff19f1fa5c4fedc)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-version: 4.34.1
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/codeql-analysis.yml']
ebf71906798ec82f34e07d3168f8b8aecaf8a3be,dependabot[bot],2026-03-19T12:44:23-06:00,"Bump github/codeql-action from 4.32.0 to 4.33.0

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 4.32.0 to 4.33.0.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/b20883b0cd1f46c72ae0ba6d1090936928f9fa30...b1bff81932f5cdfc8695c7752dcee935dcd061c8)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-version: 4.33.0
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/codeql-analysis.yml']
0e4ae38f0c93d4f92a96c774bd52c069d12a4798,Dr Alex Mitre,2026-03-05T13:14:29-07:00,"docs: exclude Response.is_permanent_redirect from API docs (#7244)

Hide the internal Response.is_permanent_redirect attribute from public API documentation.",['docs/api.rst']
d568f47278492e630cc990a259047c67991d007a,Ethan Price,2026-03-03T12:59:47-07:00,"docs: clarify Quickstart POST example (#6960)

(fixes #6949)

---------

Co-authored-by: Nate Prewitt <nate.prewitt@gmail.com>",['docs/user/quickstart.rst']
b2a1d33f571518ca9a6148e7da787cc5827f897a,Dan Blanchard,2026-03-03T11:46:41-07:00,"Increase chardet upper limit to 8

Co-Authored-By: Claude Opus 4.6 <noreply@anthropic.com>","['pyproject.toml', 'src/requests/__init__.py']"
392b01f26e1cca4a2ada1539a6ae1a1b607ec33a,dependabot[bot],2026-03-02T13:45:19-07:00,"Bump actions/download-artifact from 7.0.0 to 8.0.0

Bumps [actions/download-artifact](https://github.com/actions/download-artifact) from 7.0.0 to 8.0.0.
- [Release notes](https://github.com/actions/download-artifact/releases)
- [Commits](https://github.com/actions/download-artifact/compare/37930b1c2abaa49bbe596cd826c3c89aef350131...70fc10c6e5e1ce46ad2ea6f2b72d43f7d47b13c3)

---
updated-dependencies:
- dependency-name: actions/download-artifact
  dependency-version: 8.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/publish.yml']
27f8b40d5cc6198148a58a8e65c8cff8f7c46a54,dependabot[bot],2026-03-02T13:33:25-07:00,"Bump actions/upload-artifact from 6.0.0 to 7.0.0

Bumps [actions/upload-artifact](https://github.com/actions/upload-artifact) from 6.0.0 to 7.0.0.
- [Release notes](https://github.com/actions/upload-artifact/releases)
- [Commits](https://github.com/actions/upload-artifact/compare/b7c566a772e6b6bfb58ed0dc250532a479d7789f...bbbca2ddaa5d8feaa63e36b76fdaad77386f024f)

---
updated-dependencies:
- dependency-name: actions/upload-artifact
  dependency-version: 7.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/publish.yml']
4bd79e397304d46dfccd76f36c07f66c0295ff82,Amin Vakil,2026-02-22T16:02:37-06:00,Increase chardet upper limit to 7,"['pyproject.toml', 'src/requests/__init__.py']"
da9113c0466850a425e554630a732ec1f7d045fc,Nate Prewitt,2026-02-13T18:06:57-06:00,Add CODEOWNERS file to repo (#7208),['.github/CODEOWNERS']
a2ce3d8ace060b0c8446bc956e3853806dd4e3bb,Nate Prewitt,2026-02-13T16:48:20-06:00,Remove harden runner from publish workflow (#7207),['.github/workflows/publish.yml']
5e7cb71cd719394f8fc56ea55da3f58bb22ae2b6,Nate Prewitt,2026-02-13T13:23:44-07:00,Bump version to dev for test publish,['src/requests/__version__.py']
00600b38f45dc234f825f609cea63d24e7e690af,Nate Prewitt,2026-02-13T13:23:44-07:00,Update publish workflow and add test pypi option,['.github/workflows/publish.yml']
5f338446f9eabd956e7e132668f330d9de4fc368,m0d3v,2026-02-12T19:52:04-07:00,"Update docstring for Session.verify to include string support (#6859) (#6865)


---------

Co-authored-by: Nate Prewitt <nate.prewitt@gmail.com>",['src/requests/sessions.py']
47914226c2968802f2cdee3f6f0f6e06e4472f64,Nate Prewitt,2026-02-12T19:07:05-07:00,Fix empty netrc entry usage (#7205),"['src/requests/utils.py', 'tests/test_utils.py']"
1b40fdd004bfc8ba5301bcf8a6908264e9b6b877,Nate Prewitt,2026-02-10T17:29:35-07:00,"Merge pull request #7200 from psf/dependabot/github_actions/step-security/harden-runner-2.14.2

Bump step-security/harden-runner from 2.13.0 to 2.14.2",[]
514b3f2345e5b80444b5b85e7cc4ac18a74925b1,dependabot[bot],2026-02-11T00:23:00+00:00,"Bump step-security/harden-runner from 2.13.0 to 2.14.2

Bumps [step-security/harden-runner](https://github.com/step-security/harden-runner) from 2.13.0 to 2.14.2.
- [Release notes](https://github.com/step-security/harden-runner/releases)
- [Commits](https://github.com/step-security/harden-runner/compare/ec9f2d5744a09debf3a187a3f4f675c53b671911...5ef0c079ce82195b2a36a210272d6b661572d83e)

---
updated-dependencies:
- dependency-name: step-security/harden-runner
  dependency-version: 2.14.2
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/publish.yml']
dedee0f4562bd7f6612ee66b2e8a3c85cd4c3643,Nate Prewitt,2026-02-10T17:22:16-07:00,"Merge pull request #7199 from psf/dependabot/github_actions/dessant/lock-threads-6.0.0

Bump dessant/lock-threads from 5.0.0 to 6.0.0",[]
7112775514a8276a0b94360c71730db9ae2ab974,dependabot[bot],2026-02-10T23:59:55+00:00,"Bump dessant/lock-threads from 5.0.0 to 6.0.0

Bumps [dessant/lock-threads](https://github.com/dessant/lock-threads) from 5.0.0 to 6.0.0.
- [Release notes](https://github.com/dessant/lock-threads/releases)
- [Changelog](https://github.com/dessant/lock-threads/blob/main/CHANGELOG.md)
- [Commits](https://github.com/dessant/lock-threads/compare/d42e5f49803f3c4e14ffee0378e31481265dda22...7266a7ce5c1df01b1c6db85bf8cd86c737dadbe7)

---
updated-dependencies:
- dependency-name: dessant/lock-threads
  dependency-version: 6.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/lock-issues.yml']
733b2018a3987714f5a9576f2df4895f2a166449,Nate Prewitt,2026-02-10T16:36:31-07:00,Update floors for certifi and urllib3 (#7189),['pyproject.toml']
0c2bbe73982a70623fb81bf16b2507ea0ca80b99,Nate Prewitt,2026-02-06T08:02:46-07:00,Drop support for Python 3.9 (#7196),"['.github/workflows/run-tests.yml', 'README.md', 'pyproject.toml', 'setup.py', 'tox.ini']"
32e26af3afafb50930e64765ee37be18774d481c,Nate Prewitt,2026-02-04T19:01:16-06:00,"Start testing Python 3.15 Alpha (#7195)

* Add optional 3.15-dev runners to test matrix

* Set PYO3_USE_ABI3_FORWARD_COMPATIBILITY for 3.15 builds",['.github/workflows/run-tests.yml']
421b8733cf17e4dee8be237e7412b095772c2323,Nate Prewitt,2026-01-30T20:01:53-07:00,"Merge pull request #7101 from psf/dependabot/github_actions/github/codeql-action-4.31.6

Bump github/codeql-action from 4.30.8 to 4.31.6",[]
968863678bc09c0205fc916138c1a74e11f46e5b,dependabot[bot],2026-01-30T20:00:02-07:00,"Bump github/codeql-action from 4.30.8 to 4.31.6

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 4.30.8 to 4.31.6.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/f443b600d91635bebf5b0d9ebc620189c0d6fba5...fe4161a26a8629af62121b670040955b330f9af2)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-version: 4.31.6
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/codeql-analysis.yml']
0b950d8e97c5a70e8e9047b8d8c765db3ca6fd7b,Nate Prewitt,2026-01-30T19:59:20-07:00,"Merge pull request #7100 from psf/dependabot/github_actions/actions/setup-python-6.1.0

Bump actions/setup-python from 6.0.0 to 6.1.0",[]
42eaeb4da87330107f2b314793ec52dfd3395412,dependabot[bot],2026-01-30T19:53:54-07:00,"Bump actions/setup-python from 6.0.0 to 6.1.0

Bumps [actions/setup-python](https://github.com/actions/setup-python) from 6.0.0 to 6.1.0.
- [Release notes](https://github.com/actions/setup-python/releases)
- [Commits](https://github.com/actions/setup-python/compare/e797f83bcb11b83ae66e0230d6156d7c80228e7c...83679a892e2d95755f2dac6acb0bfd1e9ac5d548)

---
updated-dependencies:
- dependency-name: actions/setup-python
  dependency-version: 6.1.0
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>","['.github/workflows/lint.yml', '.github/workflows/publish.yml', '.github/workflows/run-tests.yml']"
49f89688672cd7a6c56cb9cde06ae9722f8590e2,Nate Prewitt,2026-01-30T19:47:47-07:00,"Merge pull request #7092 from psf/dependabot/github_actions/actions/checkout-6.0.0

Bump actions/checkout from 5.0.0 to 6.0.0",[]
8e398336f8cc82f44c7b549bfa803b99d7159c25,dependabot[bot],2026-01-30T19:46:03-07:00,"Bump actions/checkout from 5.0.0 to 6.0.0

Bumps [actions/checkout](https://github.com/actions/checkout) from 5.0.0 to 6.0.0.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/08c6903cd8c0fde910a37f88322edcfb5dd907a8...1af3b93b6815bc44a9784bd300feb67ff0d1eeb3)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-version: 6.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>","['.github/workflows/codeql-analysis.yml', '.github/workflows/lint.yml', '.github/workflows/publish.yml', '.github/workflows/run-tests.yml']"
5f33bddabdb3a3828e428252e756405d028501de,Nate Prewitt,2026-01-30T19:45:13-07:00,"Merge pull request #7073 from psf/dependabot/github_actions/actions/download-artifact-6.0.0

Bump actions/download-artifact from 5.0.0 to 6.0.0",[]
ca78ca96115cb254855afb3d966d24e92c973a20,dependabot[bot],2026-01-30T19:38:25-07:00,"Bump actions/download-artifact from 5.0.0 to 6.0.0

Bumps [actions/download-artifact](https://github.com/actions/download-artifact) from 5.0.0 to 6.0.0.
- [Release notes](https://github.com/actions/download-artifact/releases)
- [Commits](https://github.com/actions/download-artifact/compare/634f93cb2916e3fdff6788551b99b062d0335ce0...018cc2cf5baa6db3ef3c5f8a56943fffe632ef53)

---
updated-dependencies:
- dependency-name: actions/download-artifact
  dependency-version: 6.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/publish.yml']
8e5ac8e0eb53ed0d204639ac3bc42878c7621210,Nate Prewitt,2026-01-30T19:36:42-07:00,"Merge pull request #7071 from psf/dependabot/github_actions/actions/upload-artifact-5.0.0

Bump actions/upload-artifact from 4.6.2 to 5.0.0",[]
6c88b6b09f2ac7c8cba340db774f0e7596626ec2,dependabot[bot],2026-01-31T02:31:13+00:00,"Bump actions/upload-artifact from 4.6.2 to 5.0.0

Bumps [actions/upload-artifact](https://github.com/actions/upload-artifact) from 4.6.2 to 5.0.0.
- [Release notes](https://github.com/actions/upload-artifact/releases)
- [Commits](https://github.com/actions/upload-artifact/compare/ea165f8d65b6e75b540449e92b4886f43607fa02...330a01c490aca151604b8cf639adc76d48f6c5d4)

---
updated-dependencies:
- dependency-name: actions/upload-artifact
  dependency-version: 5.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/publish.yml']
cb2c800518423e0042789ab09f8f6e719428a444,Nate Prewitt,2026-01-30T19:25:55-07:00,Migrate build system to PEP 517 (#7012),"['pyproject.toml', 'setup.cfg', 'setup.py']"
a389aaad453ac4c0b9f8af4a72429de164810654,Nate Prewitt,2026-01-30T19:12:40-07:00,"Update maintainers in the AUTHORS.rst (#7191)


---------

Co-authored-by: Ian Stapleton Cordasco <graffatcolmingov@gmail.com>",['AUTHORS.rst']
f8bec2f7ca9d7c03981a12ff8866a9b3923f1699,Nate Prewitt,2026-01-30T15:10:27-06:00,"Fix CI and build failures (#7190)

* Migrate linting from various tooling to Ruff

* Run ruff over codebase

* Drop support for pypy-3.10","['.github/workflows/run-tests.yml', '.pre-commit-config.yaml', 'pyproject.toml', 'setup.cfg', 'setup.py', 'src/requests/__init__.py', 'src/requests/_internal_utils.py', 'src/requests/adapters.py', 'src/requests/auth.py', 'src/requests/certs.py', 'src/requests/exceptions.py', 'src/requests/help.py', 'src/requests/hooks.py', 'src/requests/models.py', 'src/requests/sessions.py', 'src/requests/utils.py', 'tests/test_lowlevel.py', 'tests/test_requests.py', 'tests/test_testserver.py']"
70298332899f25826e35e42f8d83425124f755a5,Nate Prewitt,2025-10-15T20:45:42+09:00,Merge pull request #7042 from psf/dependabot/github_actions/github/codeql-action-4.30.8,[]
6e4134b204f675268296b2b44c2d52c8a7927b2c,dependabot[bot],2025-10-13T16:16:05+00:00,"Bump github/codeql-action from 3.30.0 to 4.30.8

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.30.0 to 4.30.8.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/2d92b76c45b91eb80fc44c74ce3fce0ee94e8f9d...f443b600d91635bebf5b0d9ebc620189c0d6fba5)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-version: 4.30.8
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/codeql-analysis.yml']
420d16bc7ef326f7b65f90e4644adc0f6a0e1d44,Nate Prewitt,2025-09-09T18:00:19+09:00,Merge pull request #7026 from psf/dependabot/github_actions/actions/setup-python-6.0.0,[]
3c8decb92fb9062cac4bdd12d6c0d32fb3a2d119,dependabot[bot],2025-09-09T00:09:47+00:00,"Bump actions/setup-python from 5.6.0 to 6.0.0

Bumps [actions/setup-python](https://github.com/actions/setup-python) from 5.6.0 to 6.0.0.
- [Release notes](https://github.com/actions/setup-python/releases)
- [Commits](https://github.com/actions/setup-python/compare/a26af69be951a213d495a4c3e4e4022e16d87065...e797f83bcb11b83ae66e0230d6156d7c80228e7c)

---
updated-dependencies:
- dependency-name: actions/setup-python
  dependency-version: 6.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>","['.github/workflows/lint.yml', '.github/workflows/publish.yml', '.github/workflows/run-tests.yml']"
5a270e2a95cdf84e746f26face11efdda3aa0127,Nate Prewitt,2025-09-09T09:08:49+09:00,Merge pull request #7025 from psf/dependabot/github_actions/pypa/gh-action-pypi-publish-1.13.0,[]
7d8df1df573a01f20a80994685e9f6c375f9c63f,dependabot[bot],2025-09-08T16:18:37+00:00,"Bump pypa/gh-action-pypi-publish from 1.12.4 to 1.13.0

Bumps [pypa/gh-action-pypi-publish](https://github.com/pypa/gh-action-pypi-publish) from 1.12.4 to 1.13.0.
- [Release notes](https://github.com/pypa/gh-action-pypi-publish/releases)
- [Commits](https://github.com/pypa/gh-action-pypi-publish/compare/76f52bc884231f62b9a034ebfe128415bbaabdfc...ed0c53931b1dc9bd32cbe73a98c7f6766f8a527e)

---
updated-dependencies:
- dependency-name: pypa/gh-action-pypi-publish
  dependency-version: 1.13.0
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/publish.yml']
1c49660b84c88eeb2695796ce4a68903c00e00c5,dependabot[bot],2025-09-02T03:15:01-05:00,"Bump github/codeql-action from 3.29.0 to 3.30.0

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.29.0 to 3.30.0.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/ce28f5bb42b7a9f2c824e633a3f6ee835bab6858...2d92b76c45b91eb80fc44c74ce3fce0ee94e8f9d)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-version: 3.30.0
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/codeql-analysis.yml']
b25c87d7cb8d6a18a37fa12442b5f883f9e41741,Nate Prewitt,2025-08-18T13:23:20-07:00,v2.32.5,"['HISTORY.md', 'src/requests/__version__.py']"
131e506079d97606e4214cc4d87b780ac478de7a,Nate Prewitt,2025-08-11T15:32:16-07:00,"Merge pull request #7010 from psf/dependabot/github_actions/actions/checkout-5.0.0

Bump actions/checkout from 4.2.0 to 5.0.0",[]
b336cb2bc616a63a93c6470c558fc1f576b77f90,dependabot[bot],2025-08-11T22:15:22+00:00,"Bump actions/checkout from 4.2.0 to 5.0.0

Bumps [actions/checkout](https://github.com/actions/checkout) from 4.2.0 to 5.0.0.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/v4.2.0...08c6903cd8c0fde910a37f88322edcfb5dd907a8)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-version: 5.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>","['.github/workflows/codeql-analysis.yml', '.github/workflows/lint.yml', '.github/workflows/publish.yml', '.github/workflows/run-tests.yml']"
46e939b5525d9c72b677340985582b04b128478a,Grant Birkinbine,2025-08-06T07:36:19-05:00,"Update publish workflow to use `artifact-id` instead of `name`

Added artifact-id output to publish workflow and updated download-artifact action version to `v5.0.0`. Also hardens the workflow a bit by adding `persist-credentials: false` to the checkout step",['.github/workflows/publish.yml']
